,label,name,total,nunique,%unique,#null,%null,std,var,min,max,mean,median,hist0,hist1,hist2,hist3,hist4,hist5,hist6,hist7,hist8,hist9,from_file
0,Usable With Extraction,Data,439,287,0.6537585421412301,0,0.0,0.0,0.0,19,19,19.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,IHMStefanini_industrial_safety_and_health_database.csv
1,Usable Directly Categorical,Countries,439,3,0.006833712984054671,0,0.0,0.0,0.0,10,10,10.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,IHMStefanini_industrial_safety_and_health_database.csv
2,Usable Directly Categorical,Local,439,12,0.027334851936218683,0,0.0,0.0,0.0,8,8,8.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,IHMStefanini_industrial_safety_and_health_database.csv
3,Usable Directly Categorical,Industry Sector,439,3,0.006833712984054671,0,0.0,0.0,0.0,6,6,6.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,IHMStefanini_industrial_safety_and_health_database.csv
4,Usable Directly Categorical,Accident Level,439,5,0.011389521640091115,0,0.0,0.5936377762864847,0.3524058094343625,1,3,1.3029612756264235,1.0,0.7676537585421412,0.0,0.0,0.0,0.0,0.16173120728929385,0.0,0.0,0.0,0.07061503416856492,IHMStefanini_industrial_safety_and_health_database.csv
5,Usable Directly Categorical,Potential Accident Level,439,6,0.013667425968109341,0,0.0,0.6521175025606415,0.4252572371459283,1,3,2.0546697038724373,2.0,0.1867881548974943,0.0,0.0,0.0,0.0,0.571753986332574,0.0,0.0,0.0,0.2414578587699317,IHMStefanini_industrial_safety_and_health_database.csv
6,Usable Directly Categorical,Genre,439,2,0.004555808656036446,0,0.0,0.43635990981134176,0.19040997089056236,4,6,4.100227790432802,4.0,0.9498861047835992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05011389521640091,IHMStefanini_industrial_safety_and_health_database.csv
7,Usable Directly Categorical,Employee ou Terceiro,439,3,0.006833712984054671,0,0.0,4.0509683394994935,16.410344487627285,8,20,11.177676537585421,11.0,0.4123006833712984,0.0,0.4305239179954442,0.0,0.0,0.0,0.0,0.0,0.0,0.1571753986332574,IHMStefanini_industrial_safety_and_health_database.csv
8,Usable Directly Categorical,Risco Critico,439,34,0.0774487471526196,0,0.0,8.440794696894063,71.24701511511493,3,41,10.400911161731207,6.0,0.6104783599088838,0.09339407744874716,0.059225512528473814,0.09567198177676538,0.054669703872437365,0.009111617312072893,0.03416856492027335,0.002277904328018223,0.006833712984054671,0.03416856492027335,IHMStefanini_industrial_safety_and_health_database.csv
9,Unusable,fname,9400,9400,1.0,0,0.0,0.0,0.0,12,12,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,predictions_2.csv
10,Usable Directly Categorical,label,9400,2323,0.2471276595744681,0,0.0,5.906995354237603,34.892594114984625,13,53,27.35872340425532,26.0,0.003723404255319149,0.0951063829787234,0.3169148936170213,0.19638297872340427,0.1576595744680851,0.1645744680851064,0.04297872340425532,0.015957446808510637,0.00521276595744681,0.0014893617021276596,predictions_2.csv
11,Unusable,Country Name,264,264,1.0,0,0.0,9.315382062760854,86.77634297520666,4.0,52.0,12.295454545454545,9.0,0.4772727272727273,0.25,0.09848484848484848,0.06818181818181818,0.04924242424242424,0.007575757575757577,0.0,0.01893939393939394,0.015151515151515154,0.015151515151515154,Mobile cellular subscriptions.csv
12,Unusable,Country Code,264,264,1.0,0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Mobile cellular subscriptions.csv
13,Unusable,Indicator Name,264,1,0.0037878787878787884,0,0.0,0.0,0.0,46.0,46.0,46.0,46.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Mobile cellular subscriptions.csv
14,Unusable,Indicator Code,264,1,0.0037878787878787884,0,0.0,0.0,0.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Mobile cellular subscriptions.csv
15,Unusable,1960,264,1,0.0037878787878787884,18,0.06818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Mobile cellular subscriptions.csv
16,Unusable,1961,264,0,0.0,264,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Mobile cellular subscriptions.csv
17,Unusable,1962,264,0,0.0,264,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Mobile cellular subscriptions.csv
