,y_act,Reason,Attribute_name,Total_val,num of dist_val,% nans,max_val,mean,min_val,std_dev,sample_1,sample_2,sample_3,sample_4,sample_5
36,Usable Directly Categorical,j,employer_phone,374362.0,49220.0,36.14282433,0.0,0.0,0.0,0.0,,2625444811.0,662-254-7200,720-859-6111,206 391 7466
37,Usable Directly Categorical,j,employer_phone_ext,374362.0,2670.0,93.7330712,0.0,0.0,0.0,0.0,,7000.0,150,8745,11
40,Usable Directly Categorical,i,employer_yr_estab,374362.0,262.0,36.16926932,2016.0,1984.208267,0.0,38.47047443,,1959.0,1988,1996,2010
117,Usable Directly Categorical,i,pw_track_num,374362.0,171774.0,36.65623113,0.0,0.0,0.0,0.0,,P10013226788912,P10013249777836,P100131960847,p10013220035940
173,Usable Directly Categorical,f,location,73.0,70.0,0.0,0.0,0.0,0.0,0.0,Melbourne,Kuala Lumpur,Sakhir,Montmel퀌�퀌__,Istanbul
222,Usable Directly Categorical,i,stop,6251.0,6.0,0.0,6.0,1.836346185,1.0,0.935239646,1,2,3,4,5
237,Usable Directly Categorical,i,year,997.0,69.0,0.0,2018.0,1988.990973,1950.0,18.89714861,2009,2008,2007,2006,2005
257,Usable Directly Categorical,i,fastestLap,23777.0,77.0,77.36047441,78.0,41.06167565,2.0,17.15484183,39,41,58,43,50
364,Usable Directly Categorical,j,CAMERA ID,310579.0,354.0,0.1146246205,8313.0,1859.041122,1002.0,496.673585,2121,1751,1771,1533,1911
375,Usable Directly Categorical,h,Token,571153.0,39415.0,0.0008754221723,0.0,0.0,0.0,0.0,Microstructured,",",functional,PVA,hydrogels
379,Usable Directly Categorical,h,Token,667075.0,43349.0,0.0023985309,0.0,0.0,0.0,0.0,We,implemented,a,two,-
383,Usable Directly Categorical,h,Token,662207.0,43160.0,0.00286919347,0.0,0.0,0.0,0.0,Serotonin,receptor,2A,(,HTR2A
400,Usable Directly Categorical,i,National accounts reference year,263.0,9.0,79.46768061,2015.0,2007.777778,1995.0,5.090538306,,1996,2015,2010,2000
414,Usable Directly Categorical,h,Source of most recent Income and expenditure data,263.0,69.0,37.26235741,0.0,0.0,0.0,0.0,,"Integrated household survey (IHS), 2011","Integrated household survey (IHS), 2008/09","Living Standards Measurement Study Survey (LSMS), 2012","Integrated household survey (IHS), 2014"
416,Usable Directly Categorical,i,Latest agricultural census,263.0,25.0,49.80988593,0.0,0.0,0.0,0.0,,2012,2008,2014,2007
417,Usable Directly Categorical,i,Latest industrial data,263.0,15.0,55.51330798,2014.0,2011.230769,2000.0,3.531021535,,2013,2002,2014,2012
418,Usable Directly Categorical,i,Latest trade data,263.0,18.0,26.61596958,2016.0,2013.585492,1982.0,4.361180248,2015,2014,,2011,2016
419,Usable Directly Categorical,i,Latest water withdrawal data,263.0,20.0,31.17870722,2016.0,2006.839779,1975.0,5.06005568,,2000,2005,2006,2011
489,Usable Directly Categorical,i,Year,373.0,56.0,0.0,0.0,0.0,0.0,0.0,YR1960,YR1961,YR1962,YR1963,YR1964
499,Usable Directly Categorical,i,Base Period,1518.0,6.0,95.05928854,0.0,0.0,0.0,0.0,,2004-06-01 00:00:00,2010,2011,1990
575,Usable Directly Categorical,i,consume,258.0,42.0,0.0,0.0,0.0,0.0,0.0,5,"4,2","5,5","3,9","4,5"
579,Usable Directly Categorical,h,specials,258.0,7.0,79.45736434,0.0,0.0,0.0,0.0,,AC rain,AC,rain,snow
611,Usable Directly Categorical,h,incidentLocation,2799914.0,75308.0,0.0,0.0,0.0,0.0,0.0,0 N CALVERT ST,600 E FAYETTE ST,200 E BALTIMORE ST,800 PARK AV,3500 CLIFTON AV
7,Usable Directly Categorical,a,lm6owner,9597.0,6.0,49.8384912,5.0,0.489613627,0.0,0.530142662,1,,0,4,2
107,Usable Directly Categorical,i,hhrelig,9597.0,15.0,0.0,0.0,0.0,0.0,0.0,3,2,4,1,.
538,Usable Directly Categorical,f,season1e,9597.0,155.0,9.242471606,0.0,0.0,0.0,0.0,October,November,w1may2002,w3may2002,w4apr2002
539,Usable Directly Categorical,f,season1s,9597.0,133.0,9.263311451,0.0,0.0,0.0,0.0,June,May,July,w1oct2001,w2sep2001
540,Usable Directly Categorical,f,season2e,9597.0,169.0,1.542148588,0.0,0.0,0.0,0.0,May,April,June,w1oct2002,w1aug2002
541,Usable Directly Categorical,f,season2s,9597.0,144.0,1.562988434,0.0,0.0,0.0,0.0,November,December,Novemvre,w1may2002,w3mar2002
545,Usable Directly Categorical,i,subs1tot,9597.0,110.0,2.99051787,0.0,0.0,0.0,0.0,.,25000,0,50,200
548,Usable Directly Categorical,i,subs2tot,9597.0,186.0,3.834531624,0.0,0.0,0.0,0.0,.,25000,75000,200000,12000
