,y_act,Reason,Attribute_name,Total_val,num of dist_val,% nans,max_val,mean,min_val,std_dev,sample_1,sample_2,sample_3,sample_4,sample_5
0,Usable With Extraction,d,duration,6251,4814,0.0,0.0,0.0,0.0,0.0,26.898,25.021,23.426,23.251,23.842
1,Usable With Extraction,c,n.name,2031,2027,0.0,0.0,0.0,0.0,0.0,Group - Tibbetts,Group - David Spencer,Group - David Witzke,Group - David Meyerhoff,Group-David Rexford White
2,Usable With Extraction,c,National accounts base year,263,39,22.05323194,0.0,0.0,0.0,0.0,2000,2002-03-01 00:00:00,2002,Original chained constant price data are rescaled.,
3,Usable With Extraction,c,Alternative conversion factor,263,32,82.12927757,0.0,0.0,0.0,0.0,,1991퀌�퉌�퀌�퀌_퀌�퀌�96,1971퀌�퉌�퀌�퀌_퀌�퀌�84; 2012-15,1990퀌�퉌�퀌�퀌_퀌�퀌�95,1992퀌�퉌�퀌�퀌_퀌�퀌�95
4,Usable With Extraction,n,Station,513373,13431,50.60316768,0.0,0.0,0.0,0.0,,D2-EX1504L3-05,D2-EX1504L3-07,19,201109281
5,Usable With Extraction,n,PhaseIn,2720,544,79.00735294,0.0,0.0,0.0,0.0,,116627.041;0;0;0;0,79661.740;116627.041;0;0;0,-144060.803;79661.740;116627.041;0;0,252980.847;0;0;0;0
6,Usable With Extraction,k,tag_name,34252,34252,0.0,0.0,0.0,0.0,0.0,-,--1-,--10-,--12-,--122-
7,Usable With Extraction,c,Location,21607,490,,0.0,0.0,0.0,0.0,"Manhattan, NY","Boston, MA",None,"Philadelphia, PA","Toronto, CANADA"
8,Usable With Extraction,c,Landmark,277131,168,,0.0,0.0,0.0,0.0,,BROOKLYN BRIDGE,THOMSON METER COMPANY BUILDING (LAT,MAIN BROOKLYN POST OFFICE,BROOKLYN BOROUGH HALL
9,Usable With Extraction,c,Location,806179,490,,0.0,0.0,0.0,0.0,"Manhattan, NY","Boston, MA",None,"Philadelphia, PA","Toronto, CANADA"
10,Usable With Extraction,c,Location,46,46,,0.0,0.0,0.0,0.0,"-122.271450,37.803768,0","-122.419694,37.765062,0","-122.268602,37.808350,0","-122.418143,37.752470,0","-122.270062,37.852803,0"
11,Usable With Extraction,d,venue.phone,5807,32,,9142638484.0,280167341.4,-1.0,1143247408.0,-1,4155761118,2125295024,7734658005,4159346900
12,Usable With Extraction,c,magnitude,884244,162,,0.0,0.0,0.0,0.0,US$ PER 100 LBS,INDEX NUMBER,US$ / METRIC TON,,NATL CURRENCY
13,Usable With Extraction,c,classfication,801,588,,0.0,0.0,0.0,0.0,Seed PokÜÇÎ©mon,Lizard PokÜÇÎ©mon,Flame PokÜÇÎ©mon,Tiny Turtle PokÜÇÎ©mon,Turtle PokÜÇÎ©mon
14,Usable With Extraction,c,Price Range,125527,3,,0.0,0.0,0.0,0.0,$$ - $$$,$$$$,$,,$$ - $$$
15,Usable With Extraction,c,price,10000,2625,,0.0,0.0,0.0,0.0,¢ÇÎ£3.42,¢ÇÎ£16.99,¢ÇÎ£9.99,¢ÇÎ£39.99,¢ÇÎ£32.19
16,Usable With Extraction,c,category.name,16330,33,,0.0,0.0,0.0,0.0,health/wellbeing,community/environment,pets/animals,sci-fi/fantasy,language/ethnic identity
17,Usable With Extraction,c,category.shortname,16330,33,,0.0,0.0,0.0,0.0,health-wellbeing,community-environment,pets-animals,sci-fi-fantasy,language
18,Usable With Extraction,c,hometown,5893886,12714,,0.0,0.0,0.0,0.0,"New York, NY",not_found,New York,Portland,NY / SF
19,Usable With Extraction,c,topic_name,2509,2509,,0.0,0.0,0.0,0.0,Sports Fan,Latin Music,English as a Second Language,Spanish Language,Italian Language
20,Usable With Extraction,,dt_desc,11106,197,,0.0,0.0,0.0,0.0,Balance,Exports,Imports,Rental Vacancy Rate,Homeowner Vacancy Rate
21,Usable With Extraction,,geo_desc,11106,61,,0.0,0.0,0.0,0.0,United States,Northeast,Midwest,South,West
22,Usable With Extraction,,Language;Country,93,93,,0.0,0.0,0.0,0.0,fi;FIN,en;USA,de;GER,da;DNK,he;ISR
23,Usable With Extraction,,plot_size,188462,550,,0.0,0.0,0.0,0.0,Width 4ft,Width 3ft,,3x3,4x4
24,Usable With Extraction,,site_info,188462,31,,0.0,0.0,0.0,0.0,Sidewalk: Curb side : Cutout,:,Sidewalk: Property side : Yard,Sidewalk: Curb side : Yard,Median : Cutout
25,Usable With Extraction,,ICO,1351,784,,0.0,0.0,0.0,0.0,% RODOLFO O FONT,% CARMEN M CRUZ RIVERA,,% ROBERT RANSOM,% SIGFREDO AQUADO DE LA CRUZ
26,Usable With Extraction,,ICO,1973,1269,,0.0,0.0,0.0,0.0,,% TATSUHIKO WAKAO,% ROY MORRIS ESQ,% KAREN STEINFELD SECRETARY,% CARR RIGGS & INGRAM LLC
27,Usable With Extraction,,STREET,1973,1806,,0.0,0.0,0.0,0.0,GARDINER ME 04345,KAWASAKI KANAGAWA 216-0033,PO BOX 1715,GENEVA CH-1216,ROCKVILLE MD 20850
28,Usable With Extraction,,ICO,240579,138846,,0.0,0.0,0.0,0.0,,% ALBERTO MOLINA MARTINEZ,% JOANNE SOUSA,% DAVID WALRATH,% BRENDAN BURKE
29,Usable With Extraction,,STREET,240579,159430,,0.0,0.0,0.0,0.0,1050 THORNDIKE ST,523 E BROADWAY,157 ANDOVER ST,454 ESSEX ST,75 MORTON VILLAGE DR APT 408
30,Usable With Extraction,,ICO,619129,334634,,0.0,0.0,0.0,0.0,,% BILLIENITA CARDONA,% NATIONAL HEADQUARTERS,% BEUCLER KELLY & IRWIN,% MARK P DEL MASTRO
31,Usable With Extraction,,STREET,619129,389829,,0.0,0.0,0.0,0.0,570 SOUTH FOURTH STREET NO 100,1706 GREENLEAF DR,LOCAL,15623 S CENTERLINE RD,201 E PATRICK ST UNIT 249
32,Usable With Extraction,,ICO,768922,430118,,0.0,0.0,0.0,0.0,,% TONY GARCIA,% STEVEN FELDMAN,% JAYNE PALMER,% THOMAS C PUCKETT
33,Usable With Extraction,,STREET,768922,520061,,0.0,0.0,0.0,0.0,PO BOX 92,1445 N BOONVILLE AVE,PO BOX 296,4102 MARLBOROUGH,217 N GRANT ST
34,Usable With Extraction,,ICO,3324,2050,,0.0,0.0,0.0,0.0,,% RODOLFO O FONT,% TATSUHIKO WAKAO,% CARMEN M CRUZ RIVERA,% ROY MORRIS ESQ
35,Usable With Extraction,,STREET,3324,3045,,0.0,0.0,0.0,0.0,GARDINER ME 04345,PO BOX 3869,KAWASAKI KANAGAWA 216-0033,800 HIOODROMO ST STE 105,PO BOX 1715
36,Usable With Extraction,,INTRON,65188,1929,,0.0,0.0,0.0,0.0,,Jun-38,16/38,20/38,25/38
37,Usable With Extraction,,Amino_acids,65188,1262,,0.0,0.0,0.0,0.0,R/P,P,V/L,D,L
38,Usable With Extraction,,Codons,65188,2220,,0.0,0.0,0.0,0.0,cGg/cCg,ccG/ccT,Gtc/Ctc,gaC/gaT,Ctg/Ttg
39,Usable With Extraction,c,q10Industry,25090,21,,0.0,0.0,0.0,0.0,,Financial Services,Education,Technology,Security
40,Usable With Extraction,,PRCP,119040,540,,0.0,0.0,0.0,0.0,0.04,0,0.1,T,0.14
41,Usable With Extraction,c,mpi_region,4861,26,,0.0,0.0,0.0,0.0,"Barranquilla A. M., Colombia","Medellin A.M., Colombia","Santanderes, Colombia","Cali A.M., Colombia","Nord, Haiti"
42,Usable With Extraction,c,ADM1SALBNA,4861,17,,0.0,0.0,0.0,0.0,,National Capital Region,Cordillera Admin Region,Region I - Ilocos Region,Region II - Cagayan Valle
43,Usable With Extraction,c,secondary_breed,66042,246,,0.0,0.0,0.0,0.0,,"Terrier, Rat","Retriever, Labrador",Mix,Siberian Husky
44,Usable With Extraction,c,LON,161,158,,0.0,0.0,0.0,0.0,00637E,00037E,00314E,00621E,00809W
45,Usable With Extraction,c,q18NumDevelopHireWithinNextYear,25090,8,,0.0,0.0,0.0,0.0,,0 - 10,Nov-50,201 - 500,51 - 100
46,Usable With Extraction,c,primary_breed,66042,323,,0.0,0.0,0.0,0.0,"Dachshund, Standard Smooth Haired","Schnauzer, Miniature","Retriever, Golden",Manx,Doberman Pinscher
47,Usable With Extraction,c,Style,73861,175,,0.0,0.0,0.0,0.0,Cream Ale,Holiday/Winter Special Spiced Beer,American IPA,Belgian Blond Ale,American Pale Ale
48,Usable With Extraction,c,PrimingMethod,73861,874,,0.0,0.0,0.0,0.0,corn sugar,,Sukkerlake,Corn Sugar,Priming Sugar
49,Usable With Extraction,d,color,29421,154,,0.0,0.0,0.0,0.0,orange,blue /white,white/black,black/white,brown
50,Usable With Extraction,c,color,78256,525,,0.0,0.0,0.0,0.0,Orange Tabby,White/Brown,Blue/White,White,Brown
51,Usable With Extraction,c,taster_twitter_handle,129971,15,,0.0,0.0,0.0,0.0,@kerinokeefe,@vossroger,@paulgwineÍïÍ¢ÍâÍ_,,@wineschach
52,Usable With Extraction,c,Item,21477,115,,0.0,0.0,0.0,0.0,Wheat and products,Rice (Milled Equivalent),Barley and products,Maize and products,Millet and products
53,Usable With Extraction,c,LocationName,2772,984,,0.0,0.0,0.0,0.0,"Badakhshan, Afghanistan","Badghis, Afghanistan","Baghlan, Afghanistan","Balkh, Afghanistan","Bamyan, Afghanistan"
54,Usable With Extraction,c,mpi_region,15736,392,,0.0,0.0,0.0,0.0,"Banteay Mean Chey, Cambodia","Kampong Cham, Cambodia","Kampong Chhnang, Cambodia","Phnom Penh, Cambodia","Kampot & Kep, Cambodia"
55,Usable With Extraction,c,set_num,2846,2306,,0.0,0.0,0.0,0.0,75911-1,75912-1,75048-1,75053-1,4515-01-01 00:00:00
56,Usable With Extraction,,value,9237,9230,0.0,1.16e+16,28957200000000.0,0.007931696,364133000000000.0,1280470000000,1249760000000,1284490000000,1140960000000,900311000000
57,Usable With Extraction,,value,72485,72061,0.0,4962430000000000.0,7871720000000.0,-152522177.6,87075300000000.0,131880000000,158614000000,152894000000,141212000000,136766000000
58,Usable With Extraction,,value,73646,72499,0.0,1.17e+16,7825960000000.0,-4519969.0,144713000000000.0,274103000000,294038000000,295270000000,275819000000,241743000000
59,Usable With Extraction,h,currency,188939,378,0.1492545213,0.0,0.0,0.0,0.0,Euro,1999 ATS euro / euro,1999 ATS euro / euro,Austrian schilling,1999 BEF euro / euro
60,Usable With Extraction,i,value,215337,152774,0.1708949228,3.6e+17,46180500000000.0,-3082040000000000.0,2582430000000000.0,16530900000000,17212400000000,16613400000000,16342500000000,14719600000000
61,Usable With Extraction,i,value,225363,160847,0.3696258924,1.45e+18,37891700000000.0,-47068500000000.0,4781780000000000.0,275931000000,266121000000,250767000000,235011000000,224056000000
62,Usable With Extraction,i,value,595971,327935,0.1946403432,1.92e+17,7675820000000.0,-2146830000000000.0,457106000000000.0,366029000000,99907697739,266121000000,346733000000,95966682074
63,Usable With Extraction,f,item,100048,23,0.1899088438,0.0,0.0,0.0,0.0,"Alcoholic beverages, tobacco and narcotics",,Clothing and footwear,Communication,Education
64,Usable With Extraction,i,value,227092,143667,0.3399503285,1.83e+16,16826000000000.0,-226987000000000.0,178985000000000.0,220685000000,157119000000,171387000000,150984000000,152059000000
65,Usable With Extraction,d,Fiscal Year,346018,3,0.0,0.0,0.0,0.0,0.0,2013-2014,2014-2015,2012-2013,2012-2013,2013-2014
66,Usable With Extraction,f,location,19998,3478,27.51275128,0.0,0.0,0.0,0.0,,"London, United Kingdom","London, England, United Kingdom","Singapore, Singapore",Ireland
67,Usable With Extraction,j,vendor_id,3063,5,0.0,0.0,0.0,0.0,0.0,BogotÌÄåÁ,BogotÌÄåÁ UberX,Bogota UberBlack,BogotÌÄåÁ UberVan,BogotÌÄåÁ UberAngel
68,Usable With Extraction,j,vendor_id,12694,7,0.0,0.0,0.0,0.0,0.0,MÌÄå©xico DF Taxi de Sitio,MÌÄå©xico DF Taxi Libre,MÌÄå©xico DF Radio Taxi,MÌÄå©xico DF UberX,MÌÄå©xico DF UberXL
