,y_act,Reason,Attribute_name,Total_val,num of dist_val,% nans,max_val,mean,min_val,std_dev,sample_1,sample_2,sample_3,sample_4,sample_5
0,Usable Directly Categorical,g,DataValueTypeID,403984,19,0.0,0.0,0.0,0.0,0.0,CrdPrev,AgeAdjPrev,Nmbr,Mean,AgeAdjMean
1,Usable Directly Categorical,h,add_these_pw_job_title_9089,374362,4276,88.72909109,0.0,0.0,0.0,0.0,,Production Supervisor,TRANSMISSION REPAIR HELPER,"Electronics Engineers, Except Computer","Software Developers, Systems Software"
2,Context_Specific,m,agent_firm_name,374362,10135,44.70672771,0.0,0.0,0.0,0.0,,Reinhart Boerner Van Deuren s.c.,"Global Labor Solutions, LLC",Law Office of Jonathan Chin,Law Offices Peter A. Kim
3,Context_Specific,n,case_no,374362,134990,63.86679204,0.0,0.0,0.0,0.0,A-07323-97014,A-07332-99439,A-07333-99643,A-07339-01930,A-07345-03565
4,Context_Specific,n,case_number,374362,238418,36.13320796,0.0,0.0,0.0,0.0,,A-13316-14231,A-13316-14287,A-13316-14312,A-13316-14276
5,Usable Directly Categorical,h,employer_decl_info_title,374362,16510,36.14362569,0.0,0.0,0.0,0.0,,Vice President of Human Resources,President,Chief Financial Officer,Managing Partner
6,Context_Specific,m,employer_name,374362,71709,0.003205453545,0.0,0.0,0.0,0.0,NETSOFT USA INC.,PINNACLE ENVIRONEMNTAL CORP,"SCHNABEL ENGINEERING, INC.",EBENEZER MISSION CHURCH,ALBANY INTERNATIONAL CORP.
7,Context_Specific,m,foreign_worker_info_inst,374362,34515,41.13558534,0.0,0.0,0.0,0.0,,UNIVERSITY OF KERALA,CHRISTIAN ALBRECHTS UNIVERSITY OF KIEL,SUNGKYUNKWAN UNIVERSITY,THE UNIVERSITY OF WESTERN ONTARIO
8,Usable Directly Categorical,h,job_info_alt_occ_job_title,374362,71334,60.62127032,0.0,0.0,0.0,0.0,,"Mech. Engr, Dsgn Engr, Dev Engr, Prod Engr, Engr Mgr or rel*","Japanese cook, or suitable combination of experience",Related Consumer Lifestyle Public Relations,"* Program. Analyst,Associate Project Leader, Sr. System Executive or Related"
9,Usable Directly Categorical,h,job_info_job_title,374362,59495,36.14496129,0.0,0.0,0.0,0.0,,Senior Engineer,Catfish Processor,Protein Production Scientist,Market Research Analyst
10,Usable Directly Categorical,h,naics_2007_us_title,374362,955,94.68428954,0.0,0.0,0.0,0.0,Computer Systems Design Services,Hazardous Waste Treatment and Disposal,Engineering Services,Religious Organizations,Paper Industry Machinery Manufacturing
11,Usable Directly Categorical,h,naics_title,374362,1293,76.37767722,0.0,0.0,0.0,0.0,,Motor and Generator Manufacturing,Fresh and Frozen Seafood Processing,"Research and Development in the Physical, Engineering, and Life Sciences",All Other Miscellaneous Store Retailers
12,Usable Directly Categorical,h,naics_us_title,374362,1401,59.89737206,0.0,0.0,0.0,0.0,,All Other Outpatient Care Centers,Sporting Goods Stores,General Medical and Surgical Hospitals,Real Estate Property Managers
13,Usable Directly Categorical,h,naics_us_title_2007,374362,1362,70.28384291,0.0,0.0,0.0,0.0,,Tile and Terrazzo Contractors,Automotive Transmission Repair,Semiconductor and Related Device Manufacturing,Electronic Computer Manufacturing
14,Usable Directly Categorical,h,preparer_info_title,374362,1170,43.82763208,0.0,0.0,0.0,0.0,,Attorney,Representative,Attorney at Law,ATTORNEY
15,Usable Directly Categorical,h,pw_job_title_908,374362,8874,59.83059178,0.0,0.0,0.0,0.0,,Chief Executive,Manager,General and Operations Managers,Market Research Analysts and Marketing Specialists
16,Usable Directly Categorical,h,pw_job_title_9089,374362,8307,40.2741197,0.0,0.0,0.0,0.0,"Computer Software Engineers, Applications",ASBESTOS HANDLER,Civil Engineer,File Clerk,Sales & Service Engineer
17,Usable Directly Categorical,h,pw_soc_title,374362,905,0.6239949568,0.0,0.0,0.0,0.0,"Computer Software Engineers, Applications",Hazardous Materials Removal Workers,Civil Engineers,File Clerks,Sales Engineers
18,Context_Specific,o,pw_source_name_other_9089,374362,1696,95.79043813,0.0,0.0,0.0,0.0,,Towers Watson Data Services Survey 2012,FLC Dataset (per PWD),SWA,2013 Towers Watson Data Services Survey
19,Usable Directly Categorical,h,wage_offered_unit_of_pay_9089,374362,5,81.11480332,0.0,0.0,0.0,0.0,,Year,Hour,Week,Month
20,Unusable,l,name,73,73,0.0,0.0,0.0,0.0,0.0,Albert Park Grand Prix Circuit,Sepang International Circuit,Bahrain International Circuit,Circuit de Barcelona-Catalunya,Istanbul Park
21,Unusable,l,url,73,73,0.0,0.0,0.0,0.0,0.0,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,http://en.wikipedia.org/wiki/Sepang_International_Circuit,http://en.wikipedia.org/wiki/Bahrain_International_Circuit,http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya,http://en.wikipedia.org/wiki/Istanbul_Park
22,Usable Directly Numeric,a,positionText,11896,23,0.0,0.0,0.0,0.0,0.0,1,3,2,4,5
23,Usable Directly Numeric,a,positionText,31726,109,0.0,0.0,0.0,0.0,0.0,1,2,3,4,5
24,Usable Directly Numeric,a,positionText,23777,39,0.0,0.0,0.0,0.0,0.0,1,2,3,4,5
25,Context_Specific,m,r.sourceID,364456,5,0.0,0.0,0.0,0.0,0.0,Paradise Papers - Appleby,Paradise Papers - Malta corporate registry,Paradise Papers - Barbados corporate registry,Paradise Papers - Bahamas corporate registry,Paradise Papers - Lebanon corporate registry
26,Unusable,l,labels(n),59228,1,0.0,0.0,0.0,0.0,0.0,"[""Address""]","[""Address""]","[""Address""]","[""Address""]","[""Address""]"
27,Context_Specific,m,n.sourceID,59228,3,0.0,0.0,0.0,0.0,0.0,Paradise Papers - Appleby,Paradise Papers - Malta corporate registry,Paradise Papers - Barbados corporate registry,Paradise Papers - Malta corporate registry,Paradise Papers - Appleby
28,Unusable,l,n.jurisdiction_description,59228,0,100.0,0.0,0.0,0.0,0.0,,,,,
29,Unusable,l,n.closed_date,59228,0,100.0,0.0,0.0,0.0,0.0,,,,,
30,Unusable,l,n.incorporation_date,59228,0,100.0,0.0,0.0,0.0,0.0,,,,,
31,Unusable,l,n.note,59228,0,100.0,0.0,0.0,0.0,0.0,,,,,
32,Unusable,l,labels(n),24957,1,0.0,0.0,0.0,0.0,0.0,"[""Entity""]","[""Entity""]","[""Entity""]","[""Entity""]","[""Entity""]"
