,y_act,Reason,Attribute_name,Total_val,num of dist_val,% nans,max_val,mean,min_val,std_dev,sample_1,sample_2,sample_3,sample_4,sample_5
0,Unusable,l,StratificationCategory2,403984,1,80.36481643,0.0,0.0,0.0,0.0,,,,,
1,Unusable,l,Stratification2,403984,1,80.36481643,0.0,0.0,0.0,0.0,,,,,
2,Unusable,l,StratificationCategory3,403984,1,80.36481643,0.0,0.0,0.0,0.0,,,,,
3,Unusable,l,Stratification3,403984,1,80.36481643,0.0,0.0,0.0,0.0,,,,,
4,Unusable,l,ResponseID,403984,1,80.36481643,0.0,0.0,0.0,0.0,,,,,
5,Usable Directly Categorical,g,LocationID,403984,55,0.0,78.0,31.0033739,1.0,17.70023754,2,1,5,4,6
6,Unusable,l,StratificationCategoryID2,403984,1,80.36456889,0.0,0.0,0.0,0.0,,,,,
7,Unusable,l,StratificationID2,403984,1,80.36456889,0.0,0.0,0.0,0.0,,,,,
8,Unusable,l,StratificationCategoryID3,403984,1,80.36481643,0.0,0.0,0.0,0.0,,,,,
9,Unusable,l,StratificationID3,403984,1,80.36481643,0.0,0.0,0.0,0.0,,,,,
10,Usable Directly Categorical,j,employer_phone_ext,374362,2670,93.7330712,0.0,0.0,0.0,0.0,,7000,150,8745,11
11,Usable Directly Categorical,j,employer_postal_code,374362,16125,0.009883481764,0.0,0.0,0.0,0.0,10010,7072,23059,11354,12204
12,Usable Directly Categorical,i,employer_yr_estab,374362,262,36.16926932,2016.0,1984.208267,0.0,38.47047443,,1959,1988,1996,2010
13,Usable Directly Categorical,j,foreign_worker_info_postal_code,374362,9504,77.0550964,0.0,0.0,0.0,0.0,,53189,98005,48864,10009
14,Usable Directly Categorical,i,foreign_worker_yr_rel_edu_completed,374362,76,77.73171422,2103.0,2001.345761,0.0,91.44416618,,2002,20,2007,2005
15,Usable Directly Categorical,j,fw_info_postal_code,374362,16973,60.40757342,0.0,0.0,0.0,0.0,,68114,33015,64114,34202
16,Usable Directly Categorical,i,fw_info_yr_rel_edu_completed,374362,89,63.35151538,2207.0,2002.633603,0.0,89.67409576,,1997,2004,2008,2000
17,Usable Directly Categorical,j,job_info_work_postal_code,374362,11007,36.15564614,0.0,0.0,0.0,0.0,,53189,38941,80045,98037
18,Usable Directly Categorical,i,naics_2007_us_code,374362,1804,94.51974292,0.0,0.0,0.0,0.0,541512,562211,541330,813110,333291
19,Usable Directly Categorical,i,naics_code,374362,2712,76.37767722,0.0,0.0,0.0,0.0,,335312,311712,54171,45399
20,Usable Directly Categorical,i,naics_us_code,374362,3082,59.89737206,0.0,0.0,0.0,0.0,,621498,451110,622110,53131
21,Usable Directly Categorical,i,naics_us_code_2007,374362,2923,69.46778786,0.0,0.0,0.0,0.0,,238340,811113,334413,334111
22,Unusable,l,circuitId,73,73,0.0,73.0,37.0,1.0,21.07130751,1,2,3,4,5
23,Unusable,l,alt,73,1,98.63013699,10.0,10.0,10.0,0.0,10,,,10,10
24,Unusable,l,constructorResultsId,11142,11142,0.0,15639.0,7364.008616,1.0,5174.97303,1,2,3,4,5
25,Context_Specific,n,raceId,11142,913,0.0,988.0,456.3994794,1.0,261.1304909,18,19,20,21,22
26,Context_Specific,n,constructorId,11142,172,0.0,210.0,41.25237839,1.0,52.77592934,1,2,3,4,5
27,Unusable,l,constructorId,208,208,0.0,210.0,105.5144231,1.0,60.61725592,1,2,3,4,5
28,Unusable,l,,208,0,100.0,0.0,0.0,0.0,0.0,,,,,
29,Unusable,k,constructorStandingsId,11896,11896,0.0,26932.0,15200.86012,1.0,8492.143096,1,2,3,4,5
30,Context_Specific,n,raceId,11896,912,0.0,988.0,469.1058339,1.0,257.9384724,18,19,20,21,22
31,Context_Specific,n,constructorId,11896,156,0.0,210.0,45.66551782,1.0,55.7415695,1,2,3,4,5
32,Unusable,l,,11896,0,100.0,0.0,0.0,0.0,0.0,,,,,
33,Unusable,l,driverId,842,842,0.0,843.0,421.54038,1.0,243.1314785,1,2,3,4,5
34,Unusable,l,number,842,37,95.48693587,99.0,30.5,2.0,27.31565004,44,,6,14,7
35,Unusable,k,driverStandingsId,31726,31726,0.0,68608.0,39545.29481,1.0,21234.11232,1,2,3,4,5
36,Context_Specific,n,raceId,31726,976,0.0,988.0,537.9234382,1.0,261.5295399,18,19,20,21,22
37,Context_Specific,n,driverId,31726,835,0.0,843.0,280.2379436,1.0,241.1016005,1,2,3,4,5
38,Context_Specific,n,raceId,426633,395,0.0,988.0,423.1208533,1.0,381.5419752,841,842,843,844,845
39,Context_Specific,n,driverId,426633,123,0.0,843.0,186.5038171,1.0,316.1230037,20,1,17,808,13
40,Context_Specific,n,raceId,6251,137,0.0,988.0,907.8603423,841.0,44.32415224,841,842,843,844,845
41,Context_Specific,n,driverId,6251,56,0.0,843.0,429.4682451,1.0,397.0478028,153,30,17,4,13
42,Usable Directly Categorical,i,stop,6251,6,0.0,6.0,1.836346185,1.0,0.935239646,1,2,3,4,5
43,Usable With Extraction,d,duration,6251,4814,0.0,0.0,0.0,0.0,0.0,26.898,25.021,23.426,23.251,23.842
44,Unusable,l,qualifyId,7516,7516,0.0,7539.0,3762.934939,1.0,2175.255649,1,2,3,4,5
45,Context_Specific,n,raceId,7516,345,0.0,988.0,449.8308941,1.0,383.9867333,18,19,20,21,22
46,Context_Specific,n,driverId,7516,153,0.0,843.0,203.803752,1.0,325.0131105,1,9,5,13,2
47,Context_Specific,n,constructorId,7516,41,0.0,210.0,34.75731772,1.0,61.69667918,1,2,6,7,3
48,Unusable,l,raceId,997,997,0.0,1009.0,500.0341023,1.0,289.4453882,1,2,3,4,5
49,Usable Directly Categorical,i,year,997,69,0.0,2018.0,1988.990973,1950.0,18.89714861,2009,2008,2007,2006,2005
50,Context_Specific,n,circuitId,997,72,0.0,73.0,21.76228686,1.0,16.42882775,1,2,17,3,4
51,Unusable,l,resultId,23777,23777,0.0,23781.0,11889.48105,1.0,6864.546965,1,2,3,4,5
52,Context_Specific,n,raceId,23777,976,0.0,988.0,487.2039366,1.0,269.8991808,18,19,20,21,22
53,Context_Specific,n,driverId,23777,842,0.0,843.0,226.5159608,1.0,231.3812358,1,2,3,4,5
54,Context_Specific,n,constructorId,23777,207,0.0,210.0,46.28178492,1.0,56.17290988,1,2,3,4,5
55,Usable With Extraction,d,time,23777,5758,74.74870673,0.0,0.0,0.0,0.0,34:50.6,5.478,8.163,17.181,18.014
56,Usable Directly Categorical,i,fastestLap,23777,77,77.36047441,78.0,41.06167565,2.0,17.15484183,39,41,58,43,50
57,Usable Directly Categorical,j,statusId,23777,132,0.0,136.0,18.24229297,1.0,26.38026962,1,11,5,4,3
58,Unusable,l,year,69,69,0.0,2018.0,1984.0,1950.0,19.91649233,2009,2008,2007,2006,2005
59,Unusable,l,statusId,134,134,0.0,136.0,68.70895522,1.0,39.51191481,1,2,3,4,5
60,Context_Specific,o,node_1,364456,103233,0.0,84100018.0,80266551.02,34304771.0,950564.2749,82019024,82019039,82019028,82019060,82019037
61,Context_Specific,o,node_2,364456,82183,0.0,84100008.0,81647796.73,34178939.0,924974.8381,81027146,81010464,81011293,81011300,81011301
62,Unusable,l,n.node_id,59228,59228,0.0,81086852.0,81036423.29,39172370.0,517884.3974,81000002,81000005,81000009,81000011,81000012
63,Unusable,l,n.jurisdiction_description,59228,0,100.0,0.0,0.0,0.0,0.0,,,,,
64,Unusable,l,n.service_provider,59228,0,100.0,0.0,0.0,0.0,0.0,,,,,
65,Unusable,l,n.jurisdiction,59228,0,100.0,0.0,0.0,0.0,0.0,,,,,
66,Unusable,l,n.closed_date,59228,0,100.0,0.0,0.0,0.0,0.0,,,,,
67,Unusable,l,n.incorporation_date,59228,0,100.0,0.0,0.0,0.0,0.0,,,,,
68,Unusable,l,n.ibcRUC,59228,0,100.0,0.0,0.0,0.0,0.0,,,,,
69,Unusable,l,n.type,59228,0,100.0,0.0,0.0,0.0,0.0,,,,,
70,Unusable,l,n.status,59228,0,100.0,0.0,0.0,0.0,0.0,,,,,
71,Unusable,l,n.company_type,59228,0,100.0,0.0,0.0,0.0,0.0,,,,,
72,Unusable,l,n.note,59228,0,100.0,0.0,0.0,0.0,0.0,,,,,
73,Unusable,l,n.node_id,24957,24957,0.0,84000002.0,81993199.3,34178939.0,812995.1614,82019024,82019039,82019028,82019060,82019037
74,Context_Specific,m,n.service_provider,24957,2,0.06811716152,0.0,0.0,0.0,0.0,Appleby,,,,
75,Context_Specific,o,n.ibcRUC,24957,21714,12.2009857,0.0,0.0,0.0,0.0,131215,56108,1062,85534,73687
76,Unusable,l,n.node_id,186,186,0.0,80148939.0,79823587.69,34304771.0,3346848.258,80113604,80114464,80114980,80115153,34304771
77,Unusable,l,n.address,186,0,100.0,0.0,0.0,0.0,0.0,,,,,
78,Unusable,l,n.service_provider,186,0,100.0,0.0,0.0,0.0,0.0,,,,,
79,Unusable,l,n.closed_date,186,0,100.0,0.0,0.0,0.0,0.0,,,,,
80,Unusable,l,n.incorporation_date,186,0,100.0,0.0,0.0,0.0,0.0,,,,,
81,Unusable,l,n.ibcRUC,186,0,100.0,0.0,0.0,0.0,0.0,,,,,
82,Unusable,l,n.type,186,0,100.0,0.0,0.0,0.0,0.0,,,,,
83,Unusable,l,n.status,186,1,99.46236559,0.0,0.0,0.0,0.0,,,,,
84,Unusable,l,n.company_type,186,0,100.0,0.0,0.0,0.0,0.0,,,,,
85,Unusable,m,n.node_id,77012,77012,0.0,84100018.0,80049199.61,39041547.0,1094748.841,80113134,80113142,80113143,80113145,80113146
86,Unusable,l,n.address,77012,0,100.0,0.0,0.0,0.0,0.0,,,,,
87,Unusable,l,n.jurisdiction_description,77012,0,100.0,0.0,0.0,0.0,0.0,,,,,
88,Unusable,l,n.service_provider,77012,0,100.0,0.0,0.0,0.0,0.0,,,,,
89,Unusable,l,n.jurisdiction,77012,0,100.0,0.0,0.0,0.0,0.0,,,,,
90,Unusable,l,n.closed_date,77012,0,100.0,0.0,0.0,0.0,0.0,,,,,
91,Unusable,l,n.incorporation_date,77012,0,100.0,0.0,0.0,0.0,0.0,,,,,
92,Unusable,l,n.ibcRUC,77012,0,100.0,0.0,0.0,0.0,0.0,,,,,
93,Unusable,l,n.type,77012,0,100.0,0.0,0.0,0.0,0.0,,,,,
94,Unusable,l,n.status,77012,0,100.0,0.0,0.0,0.0,0.0,,,,,
95,Unusable,l,n.company_type,77012,0,100.0,0.0,0.0,0.0,0.0,,,,,
96,Unusable,l,n.node_id,2031,2031,0.0,80149306.0,80064179.75,80000012.0,38639.43133,80072517,80072518,80072519,80072520,80072521
97,Unusable,l,n.address,2031,0,100.0,0.0,0.0,0.0,0.0,,,,,
98,Unusable,l,n.jurisdiction_description,2031,0,100.0,0.0,0.0,0.0,0.0,,,,,
99,Unusable,l,n.service_provider,2031,0,100.0,0.0,0.0,0.0,0.0,,,,,
100,Unusable,l,n.jurisdiction,2031,0,100.0,0.0,0.0,0.0,0.0,,,,,
101,Unusable,l,n.closed_date,2031,0,100.0,0.0,0.0,0.0,0.0,,,,,
102,Unusable,l,n.incorporation_date,2031,0,100.0,0.0,0.0,0.0,0.0,,,,,
103,Unusable,l,n.ibcRUC,2031,0,100.0,0.0,0.0,0.0,0.0,,,,,
104,Unusable,l,n.type,2031,0,100.0,0.0,0.0,0.0,0.0,,,,,
105,Unusable,l,n.status,2031,0,100.0,0.0,0.0,0.0,0.0,,,,,
106,Unusable,l,n.company_type,2031,0,100.0,0.0,0.0,0.0,0.0,,,,,
107,Unusable,l,n.note,2031,0,100.0,0.0,0.0,0.0,0.0,,,,,
108,Usable Directly Categorical,j,CAMERA ID,310579,354,0.1146246205,8313.0,1859.041122,1002.0,496.673585,2121,1751,1771,1533,1911
109,Unusable,k,Sentence_Index,571153,25,0.0,24.0,3.685665662,0.0,3.046760317,0,1,2,3,4
110,Unusable,k,Sentence_Index,667075,23,0.0,22.0,3.703688491,0.0,3.12248297,0,1,2,3,4
111,Unusable,k,Sentence_Index,662207,27,0.0,26.0,3.697087165,0.0,3.129019403,0,1,2,3,4
112,Unusable,l,,6285,1,0.0,0.0,0.0,0.0,0.0,,,,,
113,Usable Directly Categorical,i,National accounts reference year,263,9,79.46768061,2015.0,2007.777778,1995.0,5.090538306,,1996,2015,2010,2000
114,Usable Directly Categorical,i,Latest agricultural census,263,25,49.80988593,0.0,0.0,0.0,0.0,,2012,2008,2014,2007
115,Usable Directly Categorical,i,Latest industrial data,263,15,55.51330798,2014.0,2011.230769,2000.0,3.531021535,,2013,2002,2014,2012
116,Usable Directly Categorical,i,Latest trade data,263,18,26.61596958,2016.0,2013.585492,1982.0,4.361180248,2015,2014,,2011,2016
117,Usable Directly Categorical,i,Latest water withdrawal data,263,20,31.17870722,2016.0,2006.839779,1975.0,5.06005568,,2000,2005,2006,2011
118,Unusable,l,,263,1,0.0,0.0,0.0,0.0,0.0,,,,,
119,Context_Specific,o,1960,401016,30286,91.36044447,551000000000000.0,218000000000.0,-81800000000000.0,7420000000000.0,,133.5803575,87.79798388,6.634685112,81.02336864
120,Context_Specific,o,1961,401016,34223,90.39838809,582000000000000.0,210000000000.0,-94700000000000.0,7490000000000.0,,134.1836215,89.21991442,6.746317486,82.31478334
121,Context_Specific,o,1962,401016,35942,89.91611307,593000000000000.0,209000000000.0,-107000000000000.0,7620000000000.0,,134.8864742,90.50049599,6.840404485,83.45848419
122,Context_Specific,o,1963,401016,36134,89.84130309,580000000000000.0,209000000000.0,-118000000000000.0,7490000000000.0,,134.540705,91.60031613,6.91545706,84.41203012
123,Context_Specific,o,1964,401016,36588,89.71113372,600000000000000.0,220000000000.0,-132000000000000.0,7750000000000.0,,134.1494242,92.40970861,6.967911775,85.09230694
124,Context_Specific,o,1965,401016,38702,88.99146169,607000000000000.0,222000000000.0,-156000000000000.0,7800000000000.0,,133.621761,92.85887959,6.996397166,85.46228335
125,Context_Specific,o,1966,401016,38908,89.0757476,624000000000000.0,233000000000.0,-178000000000000.0,8200000000000.0,,132.7371767,93.72069773,7.065833508,86.23408069
126,Context_Specific,o,1967,401016,40185,88.70419135,632000000000000.0,240000000000.0,-206000000000000.0,8520000000000.0,,131.7336121,94.08399713,7.105004459,86.57515545
127,Context_Specific,o,1968,401016,40110,88.74284318,701000000000000.0,271000000000.0,-233000000000000.0,9550000000000.0,,129.2639575,94.10172121,7.12217892,86.61284811
128,Context_Specific,o,1969,401016,40496,88.31517944,749000000000000.0,286000000000.0,-281000000000000.0,10200000000000.0,,126.8113201,93.94659291,7.126500348,86.48157965
129,Context_Specific,o,1970,401016,61398,80.05117003,806000000000000.0,210000000000.0,-320000000000000.0,8530000000000.0,,54.82212067,43.35110092,65.82623291,0.771414695
