,y_act,Reason,Attribute_name,Total_val,num of dist_val,% nans,max_val,mean,min_val,std_dev,sample_1,sample_2,sample_3,sample_4,sample_5
0,Unusable,l,StratificationCategory2,403984,1,0.803648164283734,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan
1,Unusable,l,Stratification2,403984,1,0.803648164283734,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan
2,Unusable,l,StratificationCategory3,403984,1,0.803648164283734,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan
3,Unusable,l,Stratification3,403984,1,0.803648164283734,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan
4,Usable With Extraction,c,GeoLocation,403984,55,0.006356687393560141,0.0,0.0,0.0,0.0,"(64.84507995700051, -147.72205903599973)","(32.84057112200048, -86.63186076199969)","(34.74865012400045, -92.27449074299966)","(34.865970280000454, -111.76381127699972)","(37.63864012300047, -120.99999953799971)"
5,Unusable,l,ResponseID,403984,1,0.803648164283734,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan
6,Usable Directly Categorical,g,LocationID,403984,55,0.0,78.0,31.0033739,1.0,17.70023754,2,1,5,4,6
7,Usable Directly Categorical,g,TopicID,403984,17,0.0,0.0,0.0,0.0,0.0,ALC,AST,ART,CAN,DIA
8,Usable Directly Categorical,g,QuestionID,403984,201,0.0,0.0,0.0,0.0,0.0,ALC1_1,ALC2_1,ALC2_2,AST4_1,ALC2_3
9,Usable Directly Categorical,g,DataValueTypeID,403984,19,0.0,0.0,0.0,0.0,0.0,CrdPrev,AgeAdjPrev,Nmbr,Mean,AgeAdjMean
10,Usable Directly Categorical,h,StratificationCategoryID1,403984,3,0.0,0.0,0.0,0.0,0.0,OVERALL,RACE,GENDER,GENDER,OVERALL
11,Usable Directly Categorical,g,StratificationID1,403984,10,0.0,0.0,0.0,0.0,0.0,OVR,BLK,GENF,HIS,GENM
12,Unusable,l,StratificationCategoryID2,403984,1,0.8036456889381758,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan
13,Unusable,l,StratificationID2,403984,1,0.8036456889381758,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan
14,Unusable,l,StratificationCategoryID3,403984,1,0.803648164283734,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan
15,Unusable,l,StratificationID3,403984,1,0.803648164283734,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan
16,Usable Directly Categorical,h,add_these_pw_job_title_9089,374362,4276,0.8872909109364733,0.0,0.0,0.0,0.0,nan,Production Supervisor,TRANSMISSION REPAIR HELPER,"Electronics Engineers, Except Computer","Software Developers, Systems Software"
17,Usable Directly Categorical,f,agent_city,374362,1838,0.4351616884192306,0.0,0.0,0.0,0.0,nan,Milwaukee,RALEIGH,Littleton,Los Angeles
19,Usable Directly Categorical,f,agent_state,374362,108,0.44374963270844797,0.0,0.0,0.0,0.0,nan,WISCONSIN,NORTH CAROLINA,COLORADO,CALIFORNIA
20,Usable Directly Categorical,h,application_type,374362,3,0.6386679203551643,0.0,0.0,0.0,0.0,PERM,ONLINE,MAILEDIN,nan,MAILEDIN
