,y_act,Reason,Attribute_name,Total_val,num of dist_val,% nans,max_val,mean,min_val,std_dev,sample_1,sample_2,sample_3,sample_4,sample_5
0,Usable Directly Categorical,e,ji_live_in_dom_svc_contract,374362,3,99.35944353,0.0,0.0,0.0,0.0,,A,Y,N,N
1,Context_Specific,n,orig_case_no,374362,228,99.92146639,0.0,0.0,0.0,0.0,,P-05021-37758,d-05208-49932,D-05118-81052,P0502441512
2,Usable With Extraction,d,orig_file_date,374362,210,99.92493896,0.0,0.0,0.0,0.0,,2013-04-03 00:00:00,30/04/01,29/09/07,27/08/07
3,Usable With Extraction,d,recr_info_job_fair_from,374362,440,99.51971621,0.0,0.0,0.0,0.0,,2013-02-10 00:00:00,25/03/10,2009-01-10 00:00:00,2009-03-09 00:00:00
4,Usable With Extraction,d,recr_info_job_fair_to,374362,447,99.52105182,0.0,0.0,0.0,0.0,,2013-02-10 00:00:00,25/03/10,26/10/09,2009-03-09 00:00:00
5,Usable With Extraction,d,recr_info_on_campus_recr_from,374362,724,99.49994925,0.0,0.0,0.0,0.0,,16/07/13,2013-05-08 00:00:00,19/06/13,25/03/10
6,Usable With Extraction,d,recr_info_on_campus_recr_to,374362,763,99.50181909,0.0,0.0,0.0,0.0,,2013-02-08 00:00:00,2013-04-09 00:00:00,27/08/13,30/03/10
7,Usable With Extraction,c,url,842,842,0.0,0.0,0.0,0.0,0.0,http://en.wikipedia.org/wiki/Lewis_Hamilton,http://en.wikipedia.org/wiki/Nick_Heidfeld,http://en.wikipedia.org/wiki/Nico_Rosberg,http://en.wikipedia.org/wiki/Fernando_Alonso,http://en.wikipedia.org/wiki/Heikki_Kovalainen
8,Usable With Extraction,c,date,997,997,0.0,0.0,0.0,0.0,0.0,29/03/09,2009-05-04 00:00:00,19/04/09,26/04/09,2009-10-05 00:00:00
9,Usable With Extraction,c,url,997,997,0.0,0.0,0.0,0.0,0.0,http://en.wikipedia.org/wiki/2009_Australian_Grand_Prix,http://en.wikipedia.org/wiki/2009_Malaysian_Grand_Prix,http://en.wikipedia.org/wiki/2009_Chinese_Grand_Prix,http://en.wikipedia.org/wiki/2009_Bahrain_Grand_Prix,http://en.wikipedia.org/wiki/2009_Spanish_Grand_Prix
10,Usable With Extraction,c,url,69,69,0.0,0.0,0.0,0.0,0.0,http://en.wikipedia.org/wiki/2009_Formula_One_season,http://en.wikipedia.org/wiki/2008_Formula_One_season,http://en.wikipedia.org/wiki/2007_Formula_One_season,http://en.wikipedia.org/wiki/2006_Formula_One_season,http://en.wikipedia.org/wiki/2005_Formula_One_season
11,Usable With Extraction,c,n.name,59228,58705,0.001688390626,0.0,0.0,0.0,0.0,Palm Grove House; VG1110 Road Town; Tortola; British Virgin Islands,"8th Floor, Medine Mews; La Chaussee Street; Port Louis; Mauritius",4th Floor Barkly Wharf East; Le Caudan Waterfront; Port Louis; Mauritius,4th Floor; IBL House ; Caudan; Port Louis; Mauritius,One Cathedral Square; Jules Koenig Street; Port Louis; Mauritius
