,y_act,Reason,Attribute_name,Total_val,num of dist_val,% nans,max_val,mean,min_val,std_dev,sample_1,sample_2,sample_3,sample_4,sample_5
0,Unusable,l,StratificationCategory2,403984,1,80.36481643,0.0,0.0,0.0,0.0,,,,,
1,Unusable,l,Stratification2,403984,1,80.36481643,0.0,0.0,0.0,0.0,,,,,
2,Unusable,l,StratificationCategory3,403984,1,80.36481643,0.0,0.0,0.0,0.0,,,,,
3,Unusable,l,Stratification3,403984,1,80.36481643,0.0,0.0,0.0,0.0,,,,,
4,Usable With Extraction,c,GeoLocation,403984,55,0.6356687394,0.0,0.0,0.0,0.0,"(64.84507995700051, -147.72205903599973)","(32.84057112200048, -86.63186076199969)","(34.74865012400045, -92.27449074299966)","(34.865970280000454, -111.76381127699972)","(37.63864012300047, -120.99999953799971)"
5,Unusable,l,ResponseID,403984,1,80.36481643,0.0,0.0,0.0,0.0,,,,,
6,Usable Directly Categorical,g,LocationID,403984,55,0.0,78.0,31.0033739,1.0,17.70023754,2,1,5,4,6
7,Usable Directly Categorical,g,TopicID,403984,17,0.0,0.0,0.0,0.0,0.0,ALC,AST,ART,CAN,DIA
8,Usable Directly Categorical,g,QuestionID,403984,201,0.0,0.0,0.0,0.0,0.0,ALC1_1,ALC2_1,ALC2_2,AST4_1,ALC2_3
9,Usable Directly Categorical,g,DataValueTypeID,403984,19,0.0,0.0,0.0,0.0,0.0,CrdPrev,AgeAdjPrev,Nmbr,Mean,AgeAdjMean
10,Usable Directly Categorical,h,StratificationCategoryID1,403984,3,0.0,0.0,0.0,0.0,0.0,OVERALL,RACE,GENDER,GENDER,OVERALL
11,Usable Directly Categorical,g,StratificationID1,403984,10,0.0,0.0,0.0,0.0,0.0,OVR,BLK,GENF,HIS,GENM
12,Unusable,l,StratificationCategoryID2,403984,1,80.36456889,0.0,0.0,0.0,0.0,,,,,
13,Unusable,l,StratificationID2,403984,1,80.36456889,0.0,0.0,0.0,0.0,,,,,
14,Unusable,l,StratificationCategoryID3,403984,1,80.36481643,0.0,0.0,0.0,0.0,,,,,
15,Unusable,l,StratificationID3,403984,1,80.36481643,0.0,0.0,0.0,0.0,,,,,
16,Usable Directly Categorical,h,add_these_pw_job_title_9089,374362,4276,88.72909109,0.0,0.0,0.0,0.0,,Production Supervisor,TRANSMISSION REPAIR HELPER,"Electronics Engineers, Except Computer","Software Developers, Systems Software"
17,Usable Directly Categorical,f,agent_city,374362,1838,43.51616884,0.0,0.0,0.0,0.0,,Milwaukee,RALEIGH,Littleton,Los Angeles
18,Context_Specific,m,agent_firm_name,374362,10135,44.70672771,0.0,0.0,0.0,0.0,,Reinhart Boerner Van Deuren s.c.,"Global Labor Solutions, LLC",Law Office of Jonathan Chin,Law Offices Peter A. Kim
19,Usable Directly Categorical,f,agent_state,374362,108,44.37496327,0.0,0.0,0.0,0.0,,WISCONSIN,NORTH CAROLINA,COLORADO,CALIFORNIA
20,Usable Directly Categorical,h,application_type,374362,3,63.86679204,0.0,0.0,0.0,0.0,PERM,ONLINE,MAILEDIN,,MAILEDIN
21,Context_Specific,n,case_no,374362,134990,63.86679204,0.0,0.0,0.0,0.0,A-07323-97014,A-07332-99439,A-07333-99643,A-07339-01930,A-07345-03565
22,Context_Specific,n,case_number,374362,238418,36.13320796,0.0,0.0,0.0,0.0,,A-13316-14231,A-13316-14287,A-13316-14312,A-13316-14276
23,Usable With Extraction,d,case_received_date,374362,2180,36.13374221,0.0,0.0,0.0,0.0,,19/11/13,2013-12-11 00:00:00,27/11/13,13/11/13
24,Usable Directly Categorical,h,case_status,374362,4,0.0,0.0,0.0,0.0,0.0,Certified,Denied,Certified-Expired,Withdrawn,Certified
25,Usable Directly Categorical,g,class_of_admission,374362,57,6.102382186,0.0,0.0,0.0,0.0,J-1,B-2,H-1B,L-1,EWI
26,Usable Directly Categorical,f,country_of_citizenship,374362,202,5.511510249,0.0,0.0,0.0,0.0,,BRAZIL,ECUADOR,INDIA,PHILIPPINES
27,Usable Directly Categorical,f,country_of_citzenship,374362,148,94.5042499,0.0,0.0,0.0,0.0,ARMENIA,POLAND,INDIA,SOUTH KOREA,CANADA
28,Usable With Extraction,d,decision_date,374362,1450,0.0,0.0,0.0,0.0,0.0,2012-01-02 00:00:00,21/12/11,2011-01-12 00:00:00,26/01/12,2011-07-10 00:00:00
29,Usable With Extraction,c,employer_address_1,374362,70243,0.01121908741,0.0,0.0,0.0,0.0,24 WEST 25 STREET,200 BROAD STREET,1054 TECHNOLOGY PARK DRIVE,33-17 PRINCE ST. 2ND FL,1373 BROADWAY
30,Usable With Extraction,c,employer_address_2,374362,7933,39.85233544,0.0,0.0,0.0,0.0,5TH FLOOR,,SUITE 500,SUITE 200,SUITE 102
31,Usable Directly Categorical,f,employer_city,374362,8384,0.003739695802,0.0,0.0,0.0,0.0,NEW YORK,CARLSTADT,GLEN ALLEN,FLUSHING,ALBANY
32,Usable Directly Categorical,f,employer_country,374362,6,36.15297493,0.0,0.0,0.0,0.0,,UNITED STATES OF AMERICA,CANADA,GERMANY,SOUTH KOREA
33,Usable Directly Categorical,h,employer_decl_info_title,374362,16510,36.14362569,0.0,0.0,0.0,0.0,,Vice President of Human Resources,President,Chief Financial Officer,Managing Partner
34,Context_Specific,m,employer_name,374362,71709,0.003205453545,0.0,0.0,0.0,0.0,NETSOFT USA INC.,PINNACLE ENVIRONEMNTAL CORP,"SCHNABEL ENGINEERING, INC.",EBENEZER MISSION CHURCH,ALBANY INTERNATIONAL CORP.
35,Usable Directly Numeric,a,employer_num_employees,374362,4559,36.15457765,263550614.0,23093.86734,0.0,545311.7107,,1935,350,4,8
36,Usable Directly Categorical,j,employer_phone,374362,49220,36.14282433,0.0,0.0,0.0,0.0,,2625444811,662-254-7200,720-859-6111,206 391 7466
37,Usable Directly Categorical,j,employer_phone_ext,374362,2670,93.7330712,0.0,0.0,0.0,0.0,,7000,150,8745,11
38,Usable Directly Categorical,j,employer_postal_code,374362,16125,0.009883481764,0.0,0.0,0.0,0.0,10010,7072,23059,11354,12204
39,Usable Directly Categorical,f,employer_state,374362,113,0.01121908741,0.0,0.0,0.0,0.0,NY,VA,FL,DE,MD
40,Usable Directly Categorical,i,employer_yr_estab,374362,262,36.16926932,2016.0,1984.208267,0.0,38.47047443,,1959,1988,1996,2010
41,Usable Directly Categorical,e,foreign_worker_info_alt_edu_experience,374362,3,76.32638996,0.0,0.0,0.0,0.0,,A,Y,N,
42,Usable Directly Categorical,f,foreign_worker_info_birth_country,374362,191,76.3255886,0.0,0.0,0.0,0.0,,INDIA,SOUTH KOREA,GERMANY,CANADA
43,Usable Directly Categorical,f,foreign_worker_info_city,374362,9620,36.14068736,0.0,0.0,0.0,0.0,,WAUKESHA,ANSAN-SI,DENVER,BELLEVUE
44,Usable Directly Categorical,h,foreign_worker_info_education,374362,7,36.14389281,0.0,0.0,0.0,0.0,,Bachelor's,None,Doctorate,Master's
45,Usable With Extraction,c,foreign_worker_info_education_other,374362,1327,98.94754275,0.0,0.0,0.0,0.0,,3 YR POST SECONDARY EDUCATION *SEE H.14,1 YEAR OF EXPERIENCE FOR EACH YEAR MISSING TOWARDS REQUIRED DEGREE,M.D. (DOCTOR OF MEDICINE),COLLEGE DIPLOMA
46,Context_Specific,m,foreign_worker_info_inst,374362,34515,41.13558534,0.0,0.0,0.0,0.0,,UNIVERSITY OF KERALA,CHRISTIAN ALBRECHTS UNIVERSITY OF KIEL,SUNGKYUNKWAN UNIVERSITY,THE UNIVERSITY OF WESTERN ONTARIO
47,Usable Directly Categorical,h,foreign_worker_info_major,374362,21851,41.39629556,0.0,0.0,0.0,0.0,,MECHANICAL ENGINEERING,MOLECULAR BIOLOGY,BUSINESS ADMINISTRATION,MEDIA STUDIES
48,Usable Directly Categorical,j,foreign_worker_info_postal_code,374362,9504,77.0550964,0.0,0.0,0.0,0.0,,53189,98005,48864,10009
49,Usable Directly Categorical,e,foreign_worker_info_rel_occup_exp,374362,3,76.324253,0.0,0.0,0.0,0.0,,Y,A,N,
50,Usable Directly Categorical,e,foreign_worker_info_req_experience,374362,3,76.32371875,0.0,0.0,0.0,0.0,,A,Y,N,
51,Usable Directly Categorical,f,foreign_worker_info_state,374362,112,40.72635577,0.0,0.0,0.0,0.0,,WISCONSIN,COLORADO,WASHINGTON,MICHIGAN
52,Usable Directly Categorical,e,foreign_worker_info_training_comp,374362,3,76.32398587,0.0,0.0,0.0,0.0,,A,Y,N,Y
53,Usable Directly Categorical,e,foreign_worker_ownership_interest,374362,2,76.32291739,0.0,0.0,0.0,0.0,,N,Y,Y,Y
54,Usable Directly Categorical,i,foreign_worker_yr_rel_edu_completed,374362,76,77.73171422,2103.0,2001.345761,0.0,91.44416618,,2002,20,2007,2005
55,Usable Directly Categorical,e,fw_info_alt_edu_experience,374362,3,59.81269466,0.0,0.0,0.0,0.0,,A,N,Y,
56,Usable Directly Categorical,f,fw_info_birth_country,374362,193,59.81590012,0.0,0.0,0.0,0.0,,IRELAND,BRAZIL,CHINA,UNITED KINGDOM
57,Usable With Extraction,c,fw_info_education_other,374362,2031,59.92782387,0.0,0.0,0.0,0.0,,None,OVER 2 YEARS POST-SECONDARY UNIVERSITY STUDY (3-YEAR BACHELOR'S),THREE YEAR BACHELOR'S DEGREE,THREE YEARS OF UNIVERSITY LEVEL STUDY + TWO YEARS OF EXPERIENCE
58,Usable Directly Categorical,j,fw_info_postal_code,374362,16973,60.40757342,0.0,0.0,0.0,0.0,,68114,33015,64114,34202
59,Usable Directly Categorical,e,fw_info_rel_occup_exp,374362,3,59.81349603,0.0,0.0,0.0,0.0,,A,Y,N,N
60,Usable Directly Categorical,e,fw_info_req_experience,374362,3,59.81242754,0.0,0.0,0.0,0.0,,Y,A,N,N
61,Usable Directly Categorical,e,fw_info_training_comp,374362,3,59.81322891,0.0,0.0,0.0,0.0,,A,Y,N,
62,Usable Directly Categorical,i,fw_info_yr_rel_edu_completed,374362,89,63.35151538,2207.0,2002.633603,0.0,89.67409576,,1997,2004,2008,2000
63,Usable Directly Categorical,e,fw_ownership_interest,374362,2,59.81296179,0.0,0.0,0.0,0.0,,N,Y,Y,Y
64,Usable Directly Categorical,e,ji_foreign_worker_live_on_premises,374362,2,76.32318451,0.0,0.0,0.0,0.0,,N,Y,Y,
65,Usable Directly Categorical,e,ji_fw_live_on_premises,374362,2,59.81269466,0.0,0.0,0.0,0.0,,N,Y,Y,Y
66,Usable Directly Categorical,e,ji_live_in_dom_svc_contract,374362,3,99.35944353,0.0,0.0,0.0,0.0,,A,Y,N,N
67,Usable Directly Categorical,e,ji_live_in_domestic_service,374362,2,36.13668054,0.0,0.0,0.0,0.0,,N,Y,Y,
68,Usable Directly Categorical,e,ji_offered_to_sec_j_foreign_worker,374362,2,76.32318451,0.0,0.0,0.0,0.0,,Y,N,N,N
69,Usable Directly Categorical,e,ji_offered_to_sec_j_fw,374362,2,59.81269466,0.0,0.0,0.0,0.0,,Y,N,N,
70,Usable Directly Numeric,a,job_info_alt_cmb_ed_oth_yrs,374362,30,81.24275434,96.0,4.593876388,0.0,4.83854705,,5,8,3,7
71,Usable Directly Categorical,h,job_info_alt_combo_ed,374362,7,81.15513861,0.0,0.0,0.0,0.0,,Bachelor's,Master's,Other,None
72,Usable Directly Categorical,e,job_info_alt_combo_ed_exp,374362,2,36.1425572,0.0,0.0,0.0,0.0,,N,Y,,Y
73,Usable With Extraction,c,job_info_alt_combo_ed_other,374362,2391,97.53767744,0.0,0.0,0.0,0.0,,"Bachelor's + exp. Will accept any suitable combo of education, experience, or training.",3-yr post secondary education *see H.14,3-year degree plus 3 years exp. or combination of degrees,1 yr of exp for each year missing towards reqd degree. See H.14
74,Usable Directly Categorical,e,job_info_alt_field,374362,2,36.14229008,0.0,0.0,0.0,0.0,,N,Y,Y,
75,Usable With Extraction,c,job_info_alt_field_name,374362,31585,75.04340718,0.0,0.0,0.0,0.0,,Marketing or Related,Marketing or Finance field,COMPUTER INFORMATION SYSTEMS/MATHEMATICS/PHYSICS,"Computer Science, Information Technology or related field"
76,Usable Directly Categorical,h,job_info_alt_occ,374362,21403,60.19360939,0.0,0.0,0.0,0.0,,Y,N,"Marketing, International Relations, Economics","Business, Economics, Statistics, or related"
77,Usable Directly Categorical,h,job_info_alt_occ_job_title,374362,71334,60.62127032,0.0,0.0,0.0,0.0,,"Mech. Engr, Dsgn Engr, Dev Engr, Prod Engr, Engr Mgr or rel*","Japanese cook, or suitable combination of experience",Related Consumer Lifestyle Public Relations,"* Program. Analyst,Associate Project Leader, Sr. System Executive or Related"
78,Usable Directly Numeric,a,job_info_alt_occ_num_months,374362,53,60.67976985,240.0,36.48311821,0.0,23.39158852,,84,24,36,60
79,Usable Directly Categorical,e,job_info_combo_occupation,374362,2,36.13587918,0.0,0.0,0.0,0.0,,N,Y,Y,
80,Usable Directly Categorical,h,job_info_education,374362,7,36.13668054,0.0,0.0,0.0,0.0,,Bachelor's,None,Doctorate,Master's
81,Usable With Extraction,c,job_info_education_other,374362,1551,97.92473595,0.0,0.0,0.0,0.0,,M.D. (Doctor of Medicine),NONE,8 grade,"All forms of BA degree equivalency permitted, pursuant to 8 CFR 214.2(h)(4)(iii)(D)"
82,Usable Directly Categorical,e,job_info_experience,374362,2,36.13641342,0.0,0.0,0.0,0.0,,N,Y,,Y
83,Usable Directly Numeric,a,job_info_experience_num_months,374362,53,64.4226711,244.0,33.10356038,0.0,22.73330794,,36,24,60,12
84,Usable Directly Categorical,e,job_info_foreign_ed,374362,2,36.19491295,0.0,0.0,0.0,0.0,,Y,N,,Y
85,Usable Directly Categorical,e,job_info_foreign_lang_req,374362,2,36.13774902,0.0,0.0,0.0,0.0,,N,Y,,N
86,Usable Directly Categorical,e,job_info_job_req_normal,374362,2,36.13694766,0.0,0.0,0.0,0.0,,N,Y,N,N
87,Usable Directly Categorical,h,job_info_job_title,374362,59495,36.14496129,0.0,0.0,0.0,0.0,,Senior Engineer,Catfish Processor,Protein Production Scientist,Market Research Analyst
88,Usable Directly Categorical,h,job_info_major,374362,52958,43.1982947,0.0,0.0,0.0,0.0,,Mechanical or Industrial Engineering,Molecular Biology,Business Administration,Media Studies
89,Usable Directly Categorical,e,job_info_training,374362,2,36.13721478,0.0,0.0,0.0,0.0,,N,Y,N,Y
90,Usable With Extraction,c,job_info_training_field,374362,2106,98.79955765,0.0,0.0,0.0,0.0,,usage of all kitchen appliances & tools,NONE,Post-doctoral training in degree area,"Analyze business operations, trends, costs, revenues, financial commitments, and obligations."
91,Usable Directly Numeric,a,job_info_training_num_months,374362,41,98.72342813,240.0,32.68508056,0.0,20.59113349,,3,24,12,36
